EUVD,VEDAS
EUVD-1999-1049,0.0
EUVD-1999-1058,0.0
EUVD-1999-1048,0.0
EUVD-1999-1078,0.0
EUVD-1999-1054,0.0
EUVD-1999-1073,0.0
EUVD-1999-1072,0.0
EUVD-1999-1071,0.0
EUVD-1999-1067,0.0
EUVD-1999-1040,0.0
EUVD-1999-1105,0.0
EUVD-1999-1053,0.0
EUVD-1999-1084,0.0
EUVD-1999-1075,0.0
EUVD-1999-1103,0.0
EUVD-1999-1100,0.0
EUVD-1999-1074,0.0
EUVD-1999-1113,0.0
EUVD-1999-1102,0.0
EUVD-1999-1090,0.0
EUVD-1999-1083,0.0
EUVD-1999-1104,0.0
EUVD-1999-1080,0.0
EUVD-1999-0948,0.0
EUVD-1999-0949,0.0
EUVD-1999-0943,0.0
EUVD-1999-0957,0.0
EUVD-1999-0950,0.0
EUVD-1999-0947,0.0
EUVD-1999-0952,0.0
EUVD-1999-0941,0.0
EUVD-1999-0940,0.0
EUVD-1999-0968,0.0
EUVD-1999-0974,0.0
EUVD-1999-0958,0.0
EUVD-1999-1128,0.0
EUVD-1999-1000,0.0
EUVD-1999-0981,0.0
EUVD-1999-1008,0.0
EUVD-1999-0990,0.0
EUVD-1999-0971,0.0
EUVD-1999-0963,0.0
EUVD-1999-0969,0.0
EUVD-1999-0970,0.0
EUVD-1999-0975,0.0
EUVD-1999-1012,0.0
EUVD-1999-1126,0.0
EUVD-1999-1319,0.0
EUVD-1999-1001,0.0
EUVD-1999-0985,0.0
EUVD-1999-0953,0.0
EUVD-1999-1322,0.0
EUVD-1999-1302,0.0
EUVD-1999-1119,0.0
EUVD-1999-1310,0.0
EUVD-1999-1314,0.0
EUVD-1999-0946,0.0
EUVD-1999-0965,0.0
EUVD-1999-1127,0.0
EUVD-1999-0988,0.0
EUVD-1999-0955,0.0
EUVD-1999-0991,0.0
EUVD-1999-1138,0.0
EUVD-1999-1166,0.0
EUVD-1999-1033,0.0
EUVD-1999-1336,0.0
EUVD-1999-1213,0.0
EUVD-1999-0961,0.0
EUVD-1999-1218,0.0
EUVD-1999-1124,0.0
EUVD-1999-0983,0.0
EUVD-1999-1235,0.0
EUVD-1999-1306,0.0
EUVD-1999-1338,0.0
EUVD-1999-1132,0.0
EUVD-1999-1240,0.0
EUVD-1999-1238,0.0
EUVD-1999-1176,0.0
EUVD-1999-1157,0.0
EUVD-1999-1241,0.0
EUVD-1999-1327,0.0
EUVD-1999-1325,0.0
EUVD-1999-1190,0.0
EUVD-1999-1020,0.0
EUVD-1999-1170,0.0
EUVD-1999-1187,0.0
EUVD-1999-1154,0.0
EUVD-1999-1110,0.0
EUVD-1999-1233,0.0
EUVD-1999-0980,0.0
EUVD-1999-1232,0.0
EUVD-1999-1179,0.0
EUVD-1999-1162,0.0
EUVD-1999-1239,0.0
EUVD-1999-1206,0.0
EUVD-1999-0976,0.0
EUVD-1999-1242,0.0
EUVD-1999-1236,0.0
EUVD-1999-1144,0.0
EUVD-1999-1234,0.0
EUVD-1999-1223,0.0
EUVD-1999-0978,0.0
EUVD-1999-1039,0.0
EUVD-1999-1135,0.0
EUVD-1999-0960,0.0
EUVD-1999-0742,0.0
EUVD-1999-0869,0.0
EUVD-1999-0788,0.0
EUVD-1999-0752,0.0
EUVD-2000-0074,0.0
EUVD-2000-0076,0.0
EUVD-2000-0093,0.0
EUVD-2000-0083,0.0
EUVD-2000-0101,0.0
EUVD-1999-1398,0.0
EUVD-1999-1393,0.0
EUVD-1999-1536,0.0
EUVD-2000-0150,0.0
EUVD-1999-1431,0.0
EUVD-2000-0021,0.0
EUVD-2000-0031,0.0
EUVD-2000-0044,0.0
EUVD-2000-0014,0.0
EUVD-2000-0030,0.0
EUVD-2000-0042,0.0
EUVD-2000-0038,0.0
EUVD-2000-0018,0.0
EUVD-2000-0045,0.0
EUVD-2000-0034,0.0
EUVD-2000-0049,0.0
EUVD-2000-0154,0.0
EUVD-2000-0059,0.0
EUVD-2000-0055,0.0
EUVD-2000-0152,0.0
EUVD-2000-0064,0.0
EUVD-2000-0167,0.0
EUVD-1999-0887,0.0
EUVD-2000-0157,0.0
EUVD-2000-0172,0.0
EUVD-1999-0756,0.0
EUVD-1999-0874,0.0
EUVD-1999-0798,0.0
EUVD-1999-0743,0.0
EUVD-1999-0744,0.0
EUVD-1999-0889,0.0
EUVD-1999-0866,0.0
EUVD-1999-0879,0.0
EUVD-1999-0838,0.0
EUVD-1999-0831,0.0
EUVD-1999-0865,0.0
EUVD-1999-0926,0.0
EUVD-1999-1351,0.0
EUVD-2000-0017,0.0
EUVD-2000-0026,0.0
EUVD-1999-0938,0.0
EUVD-1999-1346,0.0
EUVD-1999-0797,0.0
EUVD-1999-0893,0.0
EUVD-1999-0812,0.0
EUVD-1999-0903,0.0
EUVD-1999-0920,0.0
EUVD-1999-1352,0.0
EUVD-2000-0112,0.0
EUVD-1999-0924,0.0
EUVD-2000-0063,0.0
EUVD-2000-0054,0.0
EUVD-2000-0066,0.0
EUVD-2000-0061,0.0
EUVD-2000-0056,0.0
EUVD-2000-0020,0.0
EUVD-1999-1444,0.0
EUVD-2000-0159,0.0
EUVD-2000-0158,0.0
EUVD-2000-0163,0.0
EUVD-2000-0169,0.0
EUVD-2000-0162,0.0
EUVD-2000-0156,0.0
EUVD-2000-0141,0.0
EUVD-2000-0151,0.0
EUVD-2000-0142,0.0
EUVD-2000-0144,0.0
EUVD-2000-0134,0.0
EUVD-2000-0132,0.0
EUVD-2000-0136,0.0
EUVD-2000-0135,0.0
EUVD-2000-0131,0.0
EUVD-2000-0133,0.0
EUVD-1999-1545,0.0
EUVD-2000-0293,0.0
EUVD-2000-0294,0.0
EUVD-2000-0307,0.0
EUVD-1999-1534,0.0
EUVD-1999-1546,0.0
EUVD-1999-1347,0.0
EUVD-1999-1362,0.0
EUVD-1999-1353,0.0
EUVD-1999-1372,0.0
EUVD-1999-1374,0.0
EUVD-1999-1356,0.0
EUVD-1999-1354,0.0
EUVD-1999-1366,0.0
EUVD-1999-1370,0.0
EUVD-1999-1360,0.0
EUVD-1999-1373,0.0
EUVD-1999-1364,0.0
EUVD-1999-1349,0.0
EUVD-1999-1381,0.0
EUVD-1999-1378,0.0
EUVD-1999-1379,0.0
EUVD-1999-1377,0.0
EUVD-1999-1394,0.0
EUVD-1999-1389,0.0
EUVD-1999-1388,0.0
